CPU,RAM,Storage,GPU,ScreenSize,ScreenType,TouchType,Form,Region,Price in $
CPU 3a,RAM 4,S 6,GPU 1,15,HD+,Non-Touch,DE,447.22
CPU 3a,RAM 4,S 17,GPU 1,15,HD+,Non-Touch,IN,461.86
CPU 3a,RAM 7,S 23,GPU 1,15,HD+,Non-Touch,IN,615.99
CPU 3c,RAM 7,S 6,GPU 1,13,HD+,Non-Touch,US,899.99
CPU 3c,RAM 7,S 18,GPU 1,13,FHD,Non-Touch,US,1549.99
CPU 3c,RAM 7,S 6,GPU 1,13,HD,Non-Touch,US,899.99
CPU 3c,RAM 7,S 18,GPU 1,13,HD+,Non-Touch,DE,1804.22
CPU 3c,RAM 7,S 11,GPU 1,13,HD+,Non-Touch,DE,1615.42
CPU 3c,RAM 7,S 18,GPU 1,13,FHD+,Touch,US,1099.99
CPU 5b,RAM 4,S 6,GPU 1,12,QHD+,Touch,US,719.95
CPU 5b,RAM 4,S 6,GPU 1,14,HD+,Non-Touch,BR,1043.82
CPU 5b,RAM 4,S 17,GPU 1,14,FHD,Non-Touch,BR,1043.82
CPU 5b,RAM 4,S 23,GPU 1,15,FHD,Non-Touch,IN,798.00
CPU 5b,RAM 4,S 11,GPU 1,12,HD+,Non-Touch,CN,885.00
CPU 5b,RAM 4,S 23,GPU 1,15,HD+,Non-Touch,IN,545.86
CPU 5b,RAM 4,S 11,GPU 1,13,HD+,Non-Touch,IN,1343.99
CPU 5b,RAM 4,S 23,GPU 1,13,FHD,Non-Touch,IN,539.00
CPU 5b,RAM 4,S 17,GPU 1,13,HD+,Non-Touch,IN,602.00
CPU 5b,RAM 7,S 11,GPU 1,12,QHD+,Touch,US,869
CPU 5b,RAM 7,S 23,GPU 1,14,HD+,Non-Touch,CN,795.00
CPU 5b,RAM 7,S 23,GPU 1,12,HD+,Non-Touch,CN,854.85
CPU 5b,RAM 7,S 17,GPU 1,12,HD+,Non-Touch,CN,839.85
CPU 5b,RAM 7,S 11,GPU 1,13,FHD,Non-Touch,BR,1518.30
CPU 5b,RAM 7,S 23,GPU 7,15,FHD,Non-Touch,BR,1882.98
CPU 5b,RAM 7,S 6,GPU 1,12,QHD+,Touch,US,1010.64
CPU 5b,RAM 7,S 23,GPU 8,15,FHD,Non-Touch,DE,1768.82
CPU 5b,RAM 7,S 17,GPU 1,14,FHD,Non-Touch,BR,1223.82
CPU 5b,RAM 7,S 23,GPU 1,15,FHD,Non-Touch,IN,867.86
CPU 5b,RAM 7,S 6,GPU 1,13,QHD+,Touch,US,849.66
CPU 5b,RAM 7,S 23,GPU 1,15,HD+,Non-Touch,IN,702.80
CPU 5b,RAM 7,S 8,GPU 1,12,HD+,Touch,US,1217.99
CPU 5b,RAM 7,S 23,GPU 9,15,FHD,Non-Touch,BR,1844.18
CPU 5b,RAM 7,S 11,GPU 1,14,FHD,Non-Touch,US,949
CPU 5b,RAM 7,S 18,GPU 1,14,FHD,Non-Touch,US,849
CPU 5b,RAM 7,S 17,GPU 1,14,HD+,Non-Touch,BR,566.82
CPU 5b,RAM 7,S 6,GPU 1,13,FHD,Touch,US,749
CPU 5b,RAM 7,S 23,GPU 1,15,FHD,Touch,IN,1007.30
CPU 5c,RAM 9,S 30,GPU 7,15,FHD,Non-Touch,US,919
CPU 5c,RAM 10,S 30,GPU 4,17,FHD,Non-Touch,DE,2210.14
CPU 5c,RAM 10,S 23,GPU 10,13,QHD+,Touch,UK,2728.70
CPU 5c,RAM 10,S 33,GPU 11,17,FHD,Non-Touch,US,1899.99
CPU 5c,RAM 10,S 36,GPU 7,15,UHD,Non-Touch,US,1699.99
CPU 5c,RAM 10,S 33,GPU 4,17,FHD,Non-Touch,UK,1408.84
CPU 5c,RAM 10,S 18,GPU 1,12,QHD+,Touch,US,1680
CPU 5c,RAM 10,S 30,GPU 7,15,FHD,Touch,IN,1048.60
CPU 5c,RAM 10,S 18,GPU 7,15,FHD,Non-Touch,BR,1700.80
CPU 5c,RAM 10,S 45,GPU 1,15,FHD,Non-Touch,IN,1231.86
CPU 5c,RAM 10,S 30,GPU 11,15,UHD,Non-Touch,IN,2519.86
CPU 5c,RAM 10,S 33,GPU 12,15,FHD,Non-Touch,DE,116.82
CPU 5c,RAM 10,S 50,GPU 4,17,FHD,Non-Touch,DE,2122.82
CPU 5c,RAM 10,S 53,GPU 12,15,FHD,Non-Touch,DE,1532.82
CPU 5c,RAM 10,S 33,GPU 11,17,HD,Non-Touch,US,1899.99
CPU 5c,RAM 10,S 33,GPU 8,14,FHD,Non-Touch,UK,1608.46
CPU 5c,RAM 10,S 30,GPU 7,15,UHD,Touch,IN,1680.00
CPU 5c,RAM 10,S 18,GPU 1,14,FHD,Non-Touch,US,1301.88
CPU 5c,RAM 10,S 23,GPU 1,12,QHD+,Touch,US,1829
CPU 5c,RAM 10,S 33,GPU 6,15,FHD,Non-Touch,US,1129.99
CPU 5c,RAM 10,S 18,GPU 6,14,HD,Non-Touch,US,1999
CPU 5c,RAM 14,S 36,GPU 4,15,FHD,Non-Touch,FR,2605.09
